,SR Number,Date/Time Opened,Service Request Address,Service Request Status,Answer,street_address,zipcode,apt_num,city,state
0,SR18-00198455,12/19/18 02:53 PM,,Completed,No Cause,,, ,Chicago,Illinois
1,SR19-01043676,02/20/19 01:40 PM,1135 N Harlem AVE<br>  60302,Completed,No Cause,1135 N Harlem AVE,60302,   ,Chicago,Illinois
2,SR19-01047333,02/21/19 08:56 AM,18231 S Sayre AVE<br>  60477,Completed,No Cause,18231 S Sayre AVE,60477,   ,Chicago,Illinois
3,SR19-01050631,02/21/19 03:29 PM,6726 N SHERIDAN RD<br>  60626,Completed,Processed for Hearing - Standard,6726 N SHERIDAN RD,60626,   ,Chicago,Illinois
4,SR19-01058995,02/23/19 11:35 AM,2746 N 74th AVE<br>  60707,Completed,No Cause,2746 N 74th AVE,60707,   ,Chicago,Illinois
5,SR19-01067634,02/25/19 11:08 AM,6171 N SHERIDAN RD<br>  60660,Completed,No Entry,6171 N SHERIDAN RD,60660,   ,Chicago,Illinois
6,SR19-01068011,02/25/19 11:47 AM,,Completed,No Cause,,, ,Chicago,Illinois
7,SR19-01068494,02/25/19 12:37 PM,7911 S RACINE AVE<br>  60620,Completed,No Entry,7911 S RACINE AVE,60620,   ,Chicago,Illinois
8,SR19-01071889,02/26/19 12:13 AM,5326 N KIMBALL AVE<br>  60625,Completed,No Entry,5326 N KIMBALL AVE,60625,   ,Chicago,Illinois
9,SR19-01071896,02/26/19 12:18 AM,5326 N Kimball AVE<br>  60625,Completed,Adequate Temperature,5326 N Kimball AVE,60625,   ,Chicago,Illinois
10,SR19-01072955,02/26/19 09:09 AM,5225 S CALUMET AVE<br>  60615,Completed,No Entry,5225 S CALUMET AVE,60615,   ,Chicago,Illinois
11,SR19-01073055,02/26/19 09:21 AM,5326 N KIMBALL AVE<br>  60625,Completed,,5326 N KIMBALL AVE,60625,   ,Chicago,Illinois
12,SR19-01074582,02/26/19 11:53 AM,2505 N LARAMIE AVE<br>  60639,Completed,PROCESSED VIOLATION NOTICE,2505 N LARAMIE AVE,60639,   ,Chicago,Illinois
13,SR19-01074834,02/26/19 12:20 PM,120 E 44TH ST<br>  60653,Completed,No Entry,120 E 44TH ST,60653,   ,Chicago,Illinois
14,SR19-01075146,02/26/19 12:57 PM,3659 W DIVERSEY AVE<br>  60647,Completed,No Entry,3659 W DIVERSEY AVE,60647,   ,Chicago,Illinois
