SR Number,Date/Time Opened,Service Request Address,Service Request Status,Answer
SR18-00198455,12/19/18 02:53 PM,,Completed,No Cause
SR19-01043676,02/20/19 01:40 PM,1135 N Harlem AVE<br>  60302,Completed,No Cause
SR19-01047333,02/21/19 08:56 AM,18231 S Sayre AVE<br>  60477,Completed,No Cause
SR19-01050631,02/21/19 03:29 PM,6726 N SHERIDAN RD<br>  60626,Completed,Processed for Hearing - Standard
SR19-01058995,02/23/19 11:35 AM,2746 N 74th AVE<br>  60707,Completed,No Cause
SR19-01067634,02/25/19 11:08 AM,6171 N SHERIDAN RD<br>  60660,Completed,No Entry
SR19-01068011,02/25/19 11:47 AM,,Completed,No Cause
SR19-01068494,02/25/19 12:37 PM,7911 S RACINE AVE<br>  60620,Completed,No Entry
SR19-01071889,02/26/19 12:13 AM,5326 N KIMBALL AVE<br>  60625,Completed,No Entry
SR19-01071896,02/26/19 12:18 AM,5326 N Kimball AVE<br>  60625,Completed,Adequate Temperature
SR19-01072955,02/26/19 09:09 AM,5225 S CALUMET AVE<br>  60615,Completed,No Entry
SR19-01073055,02/26/19 09:21 AM,5326 N KIMBALL AVE<br>  60625,Completed,
SR19-01074582,02/26/19 11:53 AM,2505 N LARAMIE AVE<br>  60639,Completed,PROCESSED VIOLATION NOTICE
SR19-01074834,02/26/19 12:20 PM,120 E 44TH ST<br>  60653,Completed,No Entry
SR19-01075146,02/26/19 12:57 PM,3659 W DIVERSEY AVE<br>  60647,Completed,No Entry
SR19-01075484,02/26/19 01:38 PM,6147 S CHAMPLAIN AVE<br>  60637,Completed,No Entry
SR19-01075646,02/26/19 01:54 PM,6134 S COTTAGE GROVE AVE<br>  60637,Completed,Processed for Hearing - Standard
SR19-01075858,02/26/19 02:24 PM,2104 W WILSON AVE<br>  60625,Completed,No Entry
SR19-01076893,02/26/19 05:28 PM,4414 S DREXEL BLVD<br>  60653,Completed,No Entry
SR19-01076905,02/26/19 05:32 PM,1634 W JUNEWAY TER<br>  60626,Completed,No Entry
SR19-01077061,02/26/19 06:20 PM,3011 S KOSTNER AVE<br>  60623,Completed,No Entry
SR19-01077785,02/26/19 10:10 PM,8 N 5th AVE<br>  60153,Completed,No Cause
SR19-01078108,02/27/19 01:55 AM,1210 W Waveland AVE<br>  60613,Completed,No Entry
SR19-01078122,02/27/19 02:24 AM,5036 W QUINCY ST<br>  60644,Completed,No Entry
SR19-01078196,02/27/19 04:40 AM,4751 W monroe ST<br>  60644,Completed,Processed for Court
SR19-01078312,02/27/19 06:43 AM,3505 N KEELER AVE<br>  60641,Completed,Processed for Hearing - Standard
SR19-01078629,02/27/19 08:01 AM,2134 N CLEVELAND AVE<br>  60614,Completed,Processed for Hearing - Standard
SR19-01078705,02/27/19 08:18 AM,5420 N KENMORE AVE<br>  60640,Completed,No Entry
SR19-01078948,02/27/19 09:03 AM,5420 N KENMORE AVE<br>  60640,Completed,No Entry
SR19-01079464,02/27/19 10:11 AM,6600 S ARTESIAN AVE<br>  60629,Completed,No Entry
SR19-01079697,02/27/19 10:34 AM,5248 W MONTANA ST<br>  60639,Completed,Processed for Hearing - Standard
SR19-01080587,02/27/19 11:59 AM,6435 N Artesian AVE<br>  60645,Completed,Processed for Hearing - Standard
SR19-01080626,02/27/19 12:06 PM,1342 W 15TH ST<br>  60608,Completed,No Entry
SR19-01082360,02/27/19 04:06 PM,6019 N FAIRFIELD AVE<br>  60659,Completed,Adequate Temperature
SR19-01082868,02/27/19 06:04 PM,7911 S RACINE AVE<br>  ,Completed,No Entry
SR19-01083147,02/27/19 08:13 PM,4934 N SPAULDING AVE<br>  60625,Completed,Processed for Hearing - Standard
SR19-01083605,02/28/19 12:30 AM,4605 N WOLCOTT AVE<br>  60640,Completed,No Entry
SR19-01084056,02/28/19 06:38 AM,4145 W arlington ST<br>  60624,Completed,No Cause
SR19-01084132,02/28/19 07:11 AM,1507 N CLYBOURN AVE<br>  60610,Completed,Adequate Temperature
SR19-01084600,02/28/19 08:29 AM,7617 S EBERHART AVE<br>  60619,Completed,No Entry
SR19-01084831,02/28/19 08:57 AM,7756 S COLFAX AVE<br>  60649,Completed,Active Case
SR19-01085556,02/28/19 10:28 AM,7270 S SOUTH SHORE DR<br>  60649,Completed,No Entry
SR19-01085752,02/28/19 10:51 AM,5633 N KENMORE AVE<br>  60660,Completed,Adequate Temperature
SR19-01085787,02/28/19 10:55 AM,5036 W QUINCY ST<br>  60644,Completed,PROCESSED VIOLATION NOTICE
SR19-01086720,02/28/19 11:33 AM,2453 W MARQUETTE RD<br>  60629,Completed,No Entry
SR19-01088631,02/28/19 02:05 PM,2134 N CLEVELAND AVE<br>  60614,Completed,Active Case
SR19-01088760,02/28/19 02:23 PM,2134 N CLEVELAND AVE<br>  60614,Completed,
SR19-01089282,02/28/19 03:20 PM,2415 N OAK PARK AVE<br>  60707,Completed,No Entry
SR19-01089752,02/28/19 04:19 PM,6626 S WABASH AVE<br>  60637,Completed,No Entry
SR19-01090050,02/28/19 05:21 PM,3601 N ASHLAND AVE<br>  60613,Completed,No Entry
SR19-01090499,02/28/19 08:13 PM,5621 S LAFLIN ST<br>  60636,Completed,No Entry
SR19-01090861,02/28/19 10:41 PM,6382 N HERMITAGE AVE<br>  60660,Completed,No Entry
SR19-01091267,03/01/19 12:30 AM,6750 S RIDGELAND AVE<br>  60649,Completed,Processed for Court
SR19-01091493,03/01/19 05:37 AM,6920 S CRANDON AVE<br>  60649,Completed,Adequate Temperature
SR19-01091687,03/01/19 07:12 AM,8042 S HERMITAGE AVE<br>  60620,Completed,Active Case
SR19-01092962,03/01/19 10:20 AM,7154 S EMERALD AVE<br>  60621,Completed,Adequate Temperature
SR19-01093052,03/01/19 10:29 AM,6418 N NEWGARD AVE<br>  60626,Completed,PROCESSED VIOLATION NOTICE
SR19-01093253,03/01/19 10:47 AM,6912 N ASHLAND BLVD<br>  60626,Completed,Processed for Hearing - Standard
SR19-01093442,03/01/19 11:02 AM,10619 S PERRY AVE<br>  60628,Completed,No Entry
