munci_comm,non_org,is_org,pct_is_org,total_parcels,year,class_category,place
ALBANY PARK,3067.0,55.0,0.017616912235746317,3122.0,2006,single-family,Chicago
ARCHER HEIGHTS,1821.0,24.0,0.013008130081300813,1845.0,2006,single-family,Chicago
ARMOUR SQUARE,171.0,5.0,0.028409090909090908,176.0,2006,single-family,Chicago
ASHBURN,10740.0,206.0,0.01881966014982642,10946.0,2006,single-family,Chicago
AUBURN GRESHAM,7715.0,311.0,0.03874906553700473,8026.0,2006,single-family,Chicago
AUSTIN,8646.0,351.0,0.03901300433477826,8997.0,2006,single-family,Chicago
AVALON PARK,2673.0,104.0,0.037450486136118115,2777.0,2006,single-family,Chicago
AVONDALE,1773.0,48.0,0.026359143327841845,1821.0,2006,single-family,Chicago
BARRINGTON TWP,147.0,8.0,0.05161290322580645,155.0,2006,single-family,Suburban Cook
BELMONT CRAGIN,7876.0,132.0,0.016483516483516484,8008.0,2006,single-family,Chicago
BEVERLY,5928.0,180.0,0.029469548133595286,6108.0,2006,single-family,Chicago
BLOOM TWP,487.0,10.0,0.02012072434607646,497.0,2006,single-family,Suburban Cook
BREMEN TWP,599.0,10.0,0.016420361247947456,609.0,2006,single-family,Suburban Cook
BRIDGEPORT,2440.0,49.0,0.019686621132985135,2489.0,2006,single-family,Chicago
BRIGHTON PARK,2966.0,60.0,0.01982815598149372,3026.0,2006,single-family,Chicago
BURNSIDE,596.0,39.0,0.06141732283464567,635.0,2006,single-family,Chicago
CALUMET HEIGHTS,3957.0,136.0,0.033227461519667725,4093.0,2006,single-family,Chicago
CHATHAM,4375.0,119.0,0.0264797507788162,4494.0,2006,single-family,Chicago
CHICAGO LAWN,7270.0,245.0,0.03260146373918829,7515.0,2006,single-family,Chicago
CITY OF BERWYN,9297.0,316.0,0.03287215229376885,9613.0,2006,single-family,Suburban Cook
CITY OF BLUE ISLAND,3792.0,71.0,0.018379497799637587,3863.0,2006,single-family,Suburban Cook
CITY OF BURBANK,6114.0,188.0,0.029831799428752775,6302.0,2006,single-family,Suburban Cook
CITY OF CALUMET CITY,7472.0,208.0,0.027083333333333334,7680.0,2006,single-family,Suburban Cook
CITY OF CHICAGO HEIGHTS,5912.0,196.0,0.032089063523248196,6108.0,2006,single-family,Suburban Cook
CITY OF CICERO,8200.0,236.0,0.02797534376481745,8436.0,2006,single-family,Suburban Cook
CITY OF COUNTRY CLUB HILLS,2716.0,72.0,0.02582496413199426,2788.0,2006,single-family,Suburban Cook
CITY OF COUNTRYSIDE,886.0,41.0,0.04422869471413161,927.0,2006,single-family,Suburban Cook
CITY OF DES PLAINES,9766.0,188.0,0.018886879646373318,9954.0,2006,single-family,Suburban Cook
CITY OF ELGIN,3135.0,28.0,0.008852355358836548,3163.0,2006,single-family,Suburban Cook
CITY OF EVANSTON,8893.0,180.0,0.019839082993497188,9073.0,2006,single-family,Suburban Cook
CITY OF HARVEY,6417.0,316.0,0.04693301648596465,6733.0,2006,single-family,Suburban Cook
CITY OF HICKORY HILLS,1789.0,53.0,0.028773072747014114,1842.0,2006,single-family,Suburban Cook
CITY OF HOMETOWN,9.0,0.0,0.0,9.0,2006,single-family,Suburban Cook
CITY OF MARKHAM,3848.0,172.0,0.042786069651741296,4020.0,2006,single-family,Suburban Cook
CITY OF NORTH LAKE,2607.0,118.0,0.04330275229357798,2725.0,2006,single-family,Suburban Cook
CITY OF OAK FOREST,3926.0,97.0,0.02411135968182948,4023.0,2006,single-family,Suburban Cook
CITY OF PALOS HEIGHTS,1646.0,68.0,0.039673278879813305,1714.0,2006,single-family,Suburban Cook
CITY OF PALOS HILLS,1231.0,43.0,0.033751962323390894,1274.0,2006,single-family,Suburban Cook
CITY OF PARK RIDGE,7963.0,303.0,0.03665618195015727,8266.0,2006,single-family,Suburban Cook
CITY OF PROSPECT HEIGHTS,1661.0,43.0,0.02523474178403756,1704.0,2006,single-family,Suburban Cook
CITY OF ROLLING MEADOWS,3515.0,104.0,0.028737220226581928,3619.0,2006,single-family,Suburban Cook
CLEARING,4979.0,133.0,0.02601721439749609,5112.0,2006,single-family,Chicago
DOUGLAS,304.0,12.0,0.0379746835443038,316.0,2006,single-family,Chicago
DUNNING,9935.0,259.0,0.025407102216990385,10194.0,2006,single-family,Chicago
EAST GARFIELD PARK,689.0,32.0,0.044382801664355064,721.0,2006,single-family,Chicago
EAST SIDE,4510.0,79.0,0.017215079538025712,4589.0,2006,single-family,Chicago
EDGEWATER,1268.0,31.0,0.02386451116243264,1299.0,2006,single-family,Chicago
EDISON PARK,3020.0,82.0,0.026434558349451968,3102.0,2006,single-family,Chicago
ELK GROVE TWP,145.0,4.0,0.026845637583892617,149.0,2006,single-family,Suburban Cook
ENGLEWOOD,2547.0,164.0,0.06049428255256363,2711.0,2006,single-family,Chicago
FOREST GLEN,5107.0,112.0,0.021460049817972792,5219.0,2006,single-family,Chicago
FULLER PARK,185.0,8.0,0.04145077720207254,193.0,2006,single-family,Chicago
GAGE PARK,4554.0,108.0,0.023166023166023165,4662.0,2006,single-family,Chicago
GARFIELD RIDGE,9650.0,225.0,0.02278481012658228,9875.0,2006,single-family,Chicago
GRAND BOULEVARD,637.0,20.0,0.030441400304414,657.0,2006,single-family,Chicago
GREATER GRAND CROSSING,3438.0,119.0,0.03345515884172055,3557.0,2006,single-family,Chicago
HANOVER TWP,310.0,9.0,0.02821316614420063,319.0,2006,single-family,Suburban Cook
HEGEWISCH,2381.0,37.0,0.015301902398676593,2418.0,2006,single-family,Chicago
HERMOSA,1956.0,32.0,0.01609657947686117,1988.0,2006,single-family,Chicago
HUMBOLDT PARK,3501.0,114.0,0.03153526970954357,3615.0,2006,single-family,Chicago
HYDE PARK,595.0,27.0,0.04340836012861737,622.0,2006,single-family,Chicago
IRVING PARK,4563.0,102.0,0.021864951768488745,4665.0,2006,single-family,Chicago
JEFFERSON PARK,4939.0,104.0,0.02062264525084275,5043.0,2006,single-family,Chicago
KENWOOD,601.0,24.0,0.0384,625.0,2006,single-family,Chicago
LAKE VIEW,1418.0,55.0,0.0373387644263408,1473.0,2006,single-family,Chicago
LEMONT TWP,891.0,29.0,0.03152173913043478,920.0,2006,single-family,Suburban Cook
LEYDEN TWP,2155.0,58.0,0.026208766380478987,2213.0,2006,single-family,Suburban Cook
LINCOLN PARK,1851.0,111.0,0.05657492354740061,1962.0,2006,single-family,Chicago
LINCOLN SQUARE,1859.0,34.0,0.017960908610670893,1893.0,2006,single-family,Chicago
LOGAN SQUARE,2842.0,90.0,0.030695770804911322,2932.0,2006,single-family,Chicago
LOWER WEST SIDE,920.0,42.0,0.04365904365904366,962.0,2006,single-family,Chicago
LYONS TWP,861.0,39.0,0.043333333333333335,900.0,2006,single-family,Suburban Cook
MAINE TWP,790.0,22.0,0.027093596059113302,812.0,2006,single-family,Suburban Cook
MCKINLEY PARK,1457.0,32.0,0.021490933512424447,1489.0,2006,single-family,Chicago
MONTCLARE,2239.0,52.0,0.022697512003491925,2291.0,2006,single-family,Chicago
MORGAN PARK,5461.0,227.0,0.039908579465541494,5688.0,2006,single-family,Chicago
MOUNT GREENWOOD,5718.0,162.0,0.027551020408163266,5880.0,2006,single-family,Chicago
NEAR NORTH SIDE,269.0,37.0,0.12091503267973856,306.0,2006,single-family,Chicago
NEAR SOUTH SIDE,32.0,1.0,0.030303030303030304,33.0,2006,single-family,Chicago
NEAR WEST SIDE,581.0,20.0,0.033277870216306155,601.0,2006,single-family,Chicago
